Time (sec),Watt
1,165.96
2,166.68
3,166.03
4,166.96
5,167.07
6,164.1
7,166
8,162.9
9,159.86
10,163.07
11,164.4
12,161.98
13,157.89
14,138.24
15,154.61
16,157.64
17,157.33
18,159.71
19,160.69
20,160.17
21,157.35
22,156.46
23,155.32
24,156.34
25,157.28
26,156.9
27,160.35
28,162.62
29,164.61
30,159.8
31,161.54
32,155.48
33,155.78
34,162.39
35,161.1
36,155.08
37,156.48
38,156.91
39,157.07
40,157.8
41,158.4
42,158.22
43,158.01
44,157.85
45,157.37
46,158.27
47,157.29
48,161.47
49,159.06
50,153.84
51,154.97
52,156.18
53,158.46
54,162.37
55,158.83
56,158.54
57,158.22
58,158.77
59,159.31
60,159.43
