Time (sec),Watt
1,168.12
2,167.29
3,167.67
4,167.31
5,165.31
6,165.8
7,165.62
8,164.09
9,159.89
10,159.97
11,160.1
12,159.76
13,159.69
14,157.24
15,137.77
16,163.75
17,160.24
18,159.18
19,155.99
20,156.64
21,162.57
22,158.61
23,158.35
24,156.9
25,155.88
26,156.92
27,158.1
28,157.8
29,159.9
30,160.47
31,156.95
32,160.55
33,160.8
34,158.16
35,156.88
36,157.95
37,154.71
38,157.44
39,159.1
40,157.31
41,163.36
42,163.55
43,157.97
44,160.44
45,162.03
46,159.28
47,161.35
48,162.93
49,154.99
50,155.69
51,158.8
52,158.84
53,157.48
54,156.17
55,157.41
56,159.42
57,159.73
58,160.45
59,159.3
60,155.78
