Time (sec),Watt
1,150.53
2,154.19
3,156.06
4,156.15
5,156.11
6,156.21
7,155.77
8,157.15
9,156.75
10,157.46
11,164.43
12,166.39
13,166.41
14,162.43
15,132.17
16,164.49
17,164.69
18,166.32
19,165.73
20,166.02
21,165.67
22,164.7
23,163.05
24,158.25
25,158.78
26,161.76
27,164.83
28,164.45
29,158.61
30,157.32
31,158.2
32,162.43
33,162.59
34,161.82
35,160.88
36,156.93
37,157.38
38,158.17
39,158.04
40,159.4
41,160.88
42,163.43
43,161.68
44,159.07
45,158.23
46,159.05
47,160.18
48,164.31
49,164.23
50,160.99
51,159.97
52,162.42
53,163.62
54,164.01
55,158.76
56,155.5
57,142.37
58,158.37
59,163.18
60,165.19
