Time (sec),Watt
1,167.44
2,165.85
3,166.19
4,163.9
5,167.36
6,164.36
7,167.46
8,166.8
9,167.1
10,165.98
11,160.87
12,160.87
13,164.95
14,164.64
15,156.94
16,157.82
17,133.13
18,152.11
19,162.71
20,163.18
21,160.73
22,159.33
23,157.27
24,161.51
25,160.82
26,156.4
27,158.68
28,159.66
29,159.53
30,159.72
31,160.43
32,158.66
33,159.4
34,161.25
35,162.31
36,160.75
37,160.45
38,158.27
39,158.54
40,158.76
41,159.4
42,161.85
43,163.99
44,161.74
45,161.82
46,161.26
47,154.23
48,159.08
49,155.32
50,157.69
51,157.37
52,157.98
53,156.9
54,163.1
55,163.62
56,161.21
57,158.93
58,156.88
59,153.53
60,154.17
,
