Time (sec),Watt
1,159.33
2,159.76
3,160.09
4,159.56
5,159.65
6,159.7
7,159.21
8,159.92
9,158.86
10,161.11
11,163.36
12,164.13
13,158.14
14,157.47
15,135.1
16,156.22
17,157.17
18,159.93
19,156.66
20,154.77
21,155.1
22,159.3
23,159.17
24,156.25
25,156.06
26,156.74
27,155.52
28,155.17
29,156.29
30,156.76
31,159.64
32,162.28
33,160.37
34,156.92
35,157.41
36,156.31
37,153.85
38,158.89
39,159.06
40,158.87
41,159.26
42,159.59
43,161.59
44,160.62
45,155.66
46,154.88
47,156.1
48,156.13
49,159.07
50,159.18
51,157.83
52,157.15
53,156.3
54,157.46
55,153.19
56,137.27
57,164.16
58,164.1
59,163.76
60,161.41
