Time (sec),Watt
1,164.81
2,161.65
3,164.85
4,161.64
5,168.24
6,164.87
7,164.63
8,166.93
9,167.83
10,168.5
11,166.41
12,168.53
13,165.63
14,168.69
15,165.87
16,161.19
17,145.02
18,159.23
19,165.51
20,166.61
21,166.15
22,166.6
23,166.01
24,166.04
25,163.41
26,163.85
27,160.29
28,160.6
29,159.69
30,164.94
31,167.39
32,162.66
33,159.78
34,162.33
35,162.26
36,161.93
37,162.33
38,156.52
39,160.02
40,165.37
41,165.15
42,162.48
43,162.78
44,162.68
45,158.3
46,158.86
47,159.12
48,159.78
49,159.25
50,161
51,157.49
52,164.72
53,166.15
54,164.11
55,158.99
56,157.74
57,162.8
58,164.18
59,161.77
60,161.29
