Time (sec),Watt
1,168.71
2,167.4
3,168.22
4,166.78
5,164.84
6,169.81
7,170.81
8,168.92
9,164.61
10,164.83
11,164.29
12,161.01
13,159.54
14,163.75
15,159.2
16,160.37
17,160.3
18,156.93
19,164.51
20,167.12
21,162.43
22,162.67
23,161.43
24,159.68
25,156.9
26,159.81
27,160.14
28,159.03
29,161.54
30,161.38
31,156.3
32,153.73
33,161.3
34,154.76
35,156.31
36,158.18
37,159.88
38,163
39,160.34
40,157.17
41,155.21
42,162.93
43,161.76
44,162.67
45,162.2
46,163.39
47,162.78
48,162.3
49,158.19
50,158.28
51,158.68
52,165.71
53,153.49
54,159.05
55,161.28
56,161.75
57,160.99
58,160.81
59,163.18
60,165.75
