Time (sec),Watt
1,169.88
2,170.15
3,169.77
4,166.48
5,168.66
6,170.2
7,167.96
8,169.52
9,171.22
10,167.48
11,166.55
12,171.7
13,173.94
14,164.43
15,166.49
16,163.17
17,162.98
18,164.26
19,160.81
20,166.45
21,160.7
22,166.87
23,166.78
24,161.91
25,164.96
26,164.79
27,164.94
28,160.03
29,171.5
30,160.69
31,160.22
32,160.22
33,161.73
34,165.42
35,167.84
36,163.7
37,162.67
38,158.66
39,157.46
40,153.24
41,161.5
42,158.74
43,162.82
44,163.95
45,159.84
46,158.6
47,162.13
48,161.06
49,155.1
50,159.39
51,161.31
52,164.63
53,163.55
54,166.54
55,167.31
56,159.36
57,163.02
58,165.83
59,161.3
60,158.98
