Time (sec),Watt
1,165.14
2,165.86
3,163.25
4,162.49
5,163.93
6,164.69
7,162.58
8,163.47
9,159.95
10,161.04
11,162.88
12,163.5
13,162.16
14,159.47
15,140.12
16,153.29
17,163.62
18,160.46
19,159
20,157.21
21,158.89
22,158.57
23,159.89
24,158.96
25,159.92
26,159.23
27,160.21
28,160.52
29,158.2
30,160.25
31,160.4
32,158.44
33,159.48
34,164.1
35,163.46
36,163.95
37,157.8
38,157.3
39,157.3
40,159.57
41,161.78
42,162.11
43,159.44
44,158.73
45,159.05
46,158.81
47,161.44
48,164.32
49,161.19
50,160.14
51,160.95
52,164.11
53,159.94
54,161.41
55,161.33
56,161.25
57,161.94
58,161.95
59,156.37
60,155.41
,
,
