Time (sec),Watt
1,162.2
2,162.19
3,163.23
4,162.72
5,162.77
6,158.88
7,159.88
8,166.73
9,167.43
10,166.98
11,158.7
12,158.61
13,158.35
14,158.34
15,158.58
16,140.53
17,149.54
18,155.51
19,163.52
20,164.42
21,165.27
22,159.35
23,157.78
24,156.18
25,157.82
26,157.34
27,156.85
28,156.49
29,154.48
30,160.63
31,157.15
32,159.01
33,155.71
34,159.17
35,157.95
36,159.12
37,161.87
38,159.02
39,157.48
40,157.53
41,157.92
42,157.95
43,157.99
44,158.48
45,162.33
46,163.4
47,162.57
48,161.34
49,160.96
50,162.23
51,159.34
52,159
53,161.13
54,159.82
55,159.19
56,158.2
57,162.59
58,158.33
59,155.68
60,156.62
,
,
