Time (sec),Watt
1,160.3
2,160.62
3,160.34
4,159.53
5,159.9
6,159.67
7,160.36
8,160.5
9,160.48
10,160.42
11,160.48
12,163.31
13,158.9
14,156.71
15,156.26
16,156.2
17,160.48
18,160.18
19,161.24
20,158.1
21,155.66
22,159.89
23,156.68
24,157.55
25,159.74
26,161.43
27,161.32
28,157.94
29,156.56
30,157.15
31,162.23
32,163.8
33,162.49
34,159.35
35,159.81
36,156.51
37,160.5
38,162.67
39,162.26
40,157.03
41,157.35
42,160.45
43,161.55
44,159.56
45,158.33
46,156.88
47,157
48,160.6
49,162.46
50,159.55
51,157.23
52,155.51
53,156.74
54,161.91
55,162.15
56,158.44
57,160.26
58,159.04
59,159.2
60,153.48
,
,
,
,
