Time (sec),Watt
1,163.76
2,162.83
3,162.21
4,163.78
5,161.4
6,159.24
7,158.28
8,157.73
9,157.38
10,155.19
11,157.4
12,161.73
13,162.17
14,155.31
15,122.95
16,166.11
17,162.43
18,158.3
19,158.82
20,157.31
21,165.8
22,167.04
23,167.8
24,165.15
25,162.69
26,163.86
27,160.16
28,162.24
29,162.5
30,163.63
31,160.38
32,159.31
33,159.69
34,162.69
35,160.85
36,159.05
37,159.16
38,159.71
39,160.44
40,160.57
41,161.67
42,161.21
43,161.4
44,163.24
45,160.12
46,156.29
47,158.95
48,164.78
49,161.45
50,159.6
51,159.47
52,159.13
53,159.15
54,157.3
55,159.77
56,160.35
57,162.44
58,162.27
59,163.15
60,162.21
