Time (sec),Watt
1,173.84
2,175.41
3,173.45
4,170.74
5,171.3
6,173.52
7,172.7
8,167.35
9,167.31
10,167.76
11,166.64
12,167.17
13,167.11
14,164.51
15,139.63
16,158.45
17,161.68
18,162.58
19,162.23
20,162.34
21,161.44
22,160.8
23,162.19
24,161.35
25,162.83
26,161.96
27,159.11
28,161.35
29,160.63
30,160.14
31,160.86
32,161.04
33,160.29
34,159.16
35,153.36
36,156.96
37,160.24
38,160.74
39,159.9
40,160.39
41,161.32
42,161.65
43,162.92
44,162.3
45,161.16
46,160.08
47,159.57
48,159.68
49,158.72
50,156.76
51,158.55
52,159.7
53,163.17
54,162.55
55,162.71
56,157.59
57,157.1
58,157.13
59,160.99
60,160.56
