Time (sec),Watt
1,169.83
2,167.1
3,168.58
4,165.28
5,166.61
6,168.2
7,167.62
8,167.7
9,166.52
10,167.46
11,165.96
12,163.81
13,152.05
14,143.26
15,157.81
16,157.56
17,159.8
18,162.64
19,159.74
20,159.81
21,161.24
22,156.76
23,157.84
24,155.68
25,158.22
26,164.37
27,161.08
28,159.37
29,159.53
30,159.81
31,158.97
32,160.3
33,163.96
34,160.17
35,158.2
36,158.92
37,157.97
38,159.17
39,159.59
40,159.69
41,159.44
42,159.45
43,156.64
44,156.09
45,155.9
46,159.9
47,157.6
48,155.11
49,160.45
50,159.17
51,152.99
52,157.22
53,157.98
54,161.71
55,159.54
56,161.71
57,154.83
58,155.59
59,158.11
60,158.09
,
