Time (sec),Watt
1,165.1
2,164.7
3,162.78
4,163.09
5,163.67
6,163.51
7,158.94
8,161.06
9,161.29
10,160.9
11,160.22
12,160.79
13,160.97
14,161
15,160.94
16,161.4
17,164.59
18,159.34
19,155.18
20,154.61
21,145.37
22,163
23,160.73
24,158.45
25,159.53
26,159.64
27,158.3
28,158.9
29,157.67
30,158.68
31,158.82
32,159.35
33,159.61
34,158.57
35,158.39
36,159.02
37,158.59
38,158.69
39,159.44
40,154.05
41,155.59
42,156
43,159.82
44,160.75
45,156.91
46,158.32
47,158.43
48,157.72
49,158.02
50,158.33
51,157.3
52,157.98
53,161.36
54,154.66
55,156.96
56,158.54
57,158.84
58,159.99
59,160.65
60,160.86
