Time (sec),Watt
1,166.98
2,168.88
3,169.85
4,170.27
5,167.17
6,168.23
7,165.63
8,164.91
9,168.47
10,170.41
11,168.89
12,168.93
13,163.98
14,164.02
15,158.6
16,156.06
17,143.35
18,161.81
19,161.7
20,156.75
21,157.77
22,160.07
23,163.26
24,162.46
25,155.21
26,159.43
27,161.84
28,160.59
29,165.64
30,162.91
31,160.49
32,158.15
33,152.85
34,158.25
35,161.46
36,156.82
37,154.7
38,157.04
39,159.13
40,158.83
41,157.98
42,156.36
43,157.62
44,161.38
45,163.61
46,160.7
47,162.53
48,163.81
49,157.6
50,160.56
51,157.34
52,157.86
53,159.48
54,158.24
55,157.73
56,157.43
57,163.13
58,157.37
59,156.4
60,159.91
,
,
,
