Time (sec),Watt
1,171.42
2,166.16
3,164.5
4,165.35
5,167.74
6,165.9
7,168.3
8,164.1
9,166.01
10,165.25
11,165.25
12,164.31
13,162.61
14,161.26
15,137.61
16,156.86
17,157.5
18,161.27
19,164.64
20,165.15
21,164.93
22,159.41
23,158.31
24,158.36
25,159.3
26,159.59
27,163.04
28,162.15
29,155.92
30,159.87
31,160.55
32,160.42
33,161.93
34,159.4
35,158.16
36,158.15
37,157.9
38,157.37
39,158.34
40,153.77
41,156.9
42,157.22
43,157.74
44,158.23
45,158.24
46,158.47
47,158.44
48,157.61
49,158.56
50,157.99
51,159.67
52,155.91
53,155.12
54,162.02
55,157.06
56,160.63
57,157.42
58,155.78
59,156.35
60,160.19
