Time (sec),Watt
1,164.2
2,165.3
3,167.9
4,168.35
5,167.71
6,166.77
7,162.77
8,168.12
9,166.09
10,169.32
11,167.93
12,165.51
13,161.71
14,163.81
15,164.97
16,139.43
17,163.44
18,160.49
19,158.96
20,160.35
21,161.5
22,161.66
23,160.92
24,161.65
25,161.79
26,161.31
27,160.62
28,162.52
29,160.96
30,158.24
31,160.63
32,160.94
33,161.71
34,160.32
35,158.77
36,157.25
37,157.54
38,159.21
39,160.98
40,162.35
41,161.45
42,156.61
43,159.04
44,159.28
45,159.91
46,159.33
47,159.77
48,158.85
49,156.8
50,157.39
51,159.07
52,157.66
53,156.69
54,156.48
55,156.51
56,156
57,161.03
58,161.92
59,162.83
60,159.38
