Time (sec),Watt
1,173.51
2,174.01
3,173.3
4,174.6
5,173.94
6,174.04
7,174.19
8,173.41
9,175.64
10,171.34
11,171.55
12,140.57
13,166.23
14,173.79
15,172.05
16,165.66
17,173.41
18,172.7
19,173.31
20,173.59
21,173.17
22,173.18
23,171.43
24,170.89
25,173.28
26,172.32
27,172.44
28,169.54
29,172.5
30,168.8
31,170.23
32,167.94
33,170.14
34,169.31
35,168.54
36,159.9
37,170.52
38,168.97
39,165.13
40,164.79
41,164.69
42,164.09
43,165.63
44,167.33
45,166.53
46,163.84
47,163.97
48,164.3
49,161.19
50,164.84
51,165.77
52,162.19
53,163.99
54,164.23
55,163.01
56,162.42
57,161.45
58,161.62
59,162.79
60,164.09
