Time (sec),Watt
1,162.24
2,164.84
3,166.77
4,163.6
5,164.86
6,169.08
7,168.26
8,165.03
9,166.32
10,167.01
11,164.92
12,166.3
13,163.81
14,165.05
15,134.37
16,161.6
17,162.05
18,162.68
19,160.84
20,156.85
21,157.59
22,157.19
23,161.13
24,153.5
25,156.63
26,159.5
27,161.16
28,161.39
29,164.67
30,157.34
31,158.3
32,159.55
33,159.31
34,153.3
35,155.44
36,157.87
37,157.94
38,163.08
39,163.12
40,164.57
41,164.09
42,159.83
43,162.21
44,158.77
45,158.29
46,157.19
47,157.14
48,161.72
49,161.79
50,158.74
51,157.02
52,156.73
53,160.31
54,161.52
55,160.57
56,160.48
57,155.08
58,154.82
59,157.23
60,163.27
,
,
