Time (sec),Watt
1,169.63
2,169.11
3,170.27
4,171.35
5,170.63
6,170.6
7,171.29
8,168.35
9,166.05
10,165.16
11,165.47
12,168.65
13,167.5
14,160.82
15,137.72
16,152.44
17,166.59
18,163.76
19,164.64
20,165.31
21,164.03
22,160.53
23,159.87
24,160.42
25,160.08
26,159.65
27,159.25
28,160.14
29,159.99
30,159.52
31,159.82
32,160.58
33,160.73
34,160.7
35,160.51
36,159.6
37,159.98
38,160.51
39,158.54
40,156.92
41,156.78
42,156.83
43,159.07
44,162.17
45,159.99
46,156.83
47,156.16
48,160.46
49,163.22
50,157.35
51,158.6
52,162.5
53,159.28
54,160.31
55,160.93
56,160.51
57,159.18
58,159.43
59,160.51
60,154.34
