Time (sec),Watt
1,164.35
2,164.96
3,165.73
4,165.45
5,162.71
6,160.69
7,161.87
8,161.77
9,161.97
10,161.94
11,161.18
12,161.17
13,159.69
14,155.67
15,133.19
16,157.69
17,160.97
18,161.16
19,160.69
20,158.48
21,156.91
22,156.95
23,156.41
24,155.93
25,157.02
26,157.13
27,156.45
28,159.69
29,158.57
30,156.95
31,156.81
32,156.94
33,157.18
34,158.09
35,157.61
36,157.24
37,157.24
38,159.25
39,156.63
40,155.67
41,155.39
42,156.46
43,159.94
44,161.8
45,159.02
46,158.03
47,156.51
48,161.61
49,161.78
50,158.97
51,158.58
52,159.77
53,160.05
54,160.47
55,158.99
56,156.68
57,159.13
58,161.74
59,159.5
60,157.51
