Time (sec),Watt
1,161.02
2,160.86
3,160.66
4,160.92
5,160.07
6,160.91
7,160.29
8,159.65
9,159.36
10,160.3
11,159.47
12,156.42
13,144.88
14,146.23
15,154.96
16,155.56
17,154.6
18,152.48
19,155.96
20,155.4
21,156.48
22,158.02
23,156.79
24,155.02
25,156.41
26,157.98
27,156.48
28,159.27
29,161.23
30,158.76
31,159.37
32,158.21
33,158.45
34,159.42
35,160.62
36,157.31
37,158.33
38,157.64
39,157.85
40,159.96
41,159.93
42,157.06
43,160.26
44,160.74
45,159.33
46,157.7
47,156.01
48,156.91
49,156.67
50,162.04
51,165.83
52,159.9
53,160.42
54,157.8
55,155.11
56,153.66
57,153.43
58,158.97
59,158.97
60,158.97
