Time (sec),Watt
1,163.8
2,164.11
3,163.83
4,165.38
5,163.93
6,163.37
7,161.66
8,160.75
9,162.29
10,163.3
11,162.61
12,168
13,169.83
14,164.52
15,147.85
16,138.61
17,167.28
18,165.23
19,160.43
20,164.24
21,168.7
22,167
23,163.05
24,161.03
25,161.84
26,163.68
27,162.2
28,163.46
29,163.36
30,161.72
31,159.33
32,160.47
33,163.27
34,162.03
35,158.32
36,158.26
37,158.98
38,158.74
39,159.26
40,159.41
41,160.04
42,161.09
43,161.61
44,161.74
45,160.25
46,156.35
47,158.09
48,161.6
49,161.06
50,161.62
51,162.27
52,159.65
53,157.37
54,163.65
55,162.61
56,158.28
57,157.74
58,157.2
59,157.64
60,157.14
