Time (sec),Watt
1,165.58
2,166.7
3,166.11
4,165.92
5,166.24
6,165.47
7,162.78
8,161.89
9,161.23
10,161.67
11,161.19
12,161.38
13,158.14
14,156.12
15,156.64
16,155.21
17,163.36
18,160.1
19,161.21
20,162.52
21,155.24
22,159.73
23,160.47
24,160.17
25,161.14
26,156.34
27,158.17
28,158.63
29,158.34
30,158.03
31,158.48
32,158.46
33,158.11
34,159.68
35,158.83
36,158.73
37,158.34
38,158.73
39,161.41
40,157.13
41,155.08
42,158.91
43,159.53
44,159.35
45,159.83
46,160.43
47,156.71
48,159.85
49,160.95
50,159.77
51,158.82
52,157.12
53,156.61
54,157.16
55,154.29
56,155.94
57,159.5
58,137.05
59,161.81
60,162.89
