Time (sec),Watt
1,163.79
2,163.61
3,165.34
4,166.62
5,164.25
6,163.1
7,161.71
8,159.55
9,159.35
10,159.99
11,157.34
12,161.3
13,162.41
14,158.12
15,128.5
16,151.07
17,167.1
18,160.05
19,160.27
20,165.92
21,165.02
22,158.27
23,159.03
24,158.85
25,162.9
26,161.61
27,160.43
28,161.29
29,160.36
30,160.5
31,157.72
32,159.03
33,159.29
34,161.66
35,162.73
36,161.45
37,159.48
38,159.01
39,160.33
40,161.95
41,161.94
42,161.36
43,160.69
44,161.12
45,158.7
46,159.62
47,159.11
48,156.66
49,157.14
50,156.01
51,155.32
52,155.18
53,160.09
54,162.19
55,162.91
56,163.48
57,161.65
58,157.21
59,155.26
60,158.86
