Time (sec),Watt
1,160.29
2,159.29
3,164.06
4,158.63
5,159.34
6,160.26
7,162.51
8,158.28
9,162.72
10,157.83
11,156.25
12,159.01
13,158.72
14,158.95
15,157.1
16,134.76
17,157.95
18,158.7
19,159.88
20,160.19
21,158.93
22,158.97
23,157.46
24,155.04
25,158.79
26,161.57
27,156.18
28,157.67
29,158.6
30,157.74
31,157.66
32,158.68
33,158.31
34,153.67
35,157.76
36,158.57
37,158.05
38,157.8
39,157.6
40,159.15
41,158.84
42,158.83
43,159.44
44,159.82
45,160.66
46,159.84
47,159.52
48,158.63
49,157.41
50,160.08
51,161.12
52,155.21
53,156.03
54,159.05
55,158.45
56,162.31
57,165.78
58,157.93
59,157.12
60,156.83
,
