Time (sec),Watt
1,168.55
2,169.46
3,167.93
4,164.3
5,163.65
6,163.96
7,164.33
8,165.07
9,164.11
10,163.9
11,165.02
12,160.97
13,158.53
14,160.08
15,157.58
16,166.81
17,160.3
18,162.26
19,161.29
20,159
21,158.95
22,156.08
23,157.18
24,154.93
25,161.87
26,161.15
27,162.03
28,159
29,160.62
30,164.52
31,161.73
32,160.07
33,159.15
34,161.43
35,161.8
36,160.18
37,160.2
38,159.2
39,158.93
40,160.27
41,159.6
42,160.18
43,160.64
44,160.71
45,159.51
46,157.9
47,157
48,157.2
49,156.58
50,157.28
51,158.79
52,158.96
53,159.38
54,161.08
55,159.41
56,162.53
57,164.64
58,159.33
59,157.88
60,157.88
