Time (sec),Watt
1,166.33
2,167.45
3,166.02
4,169.91
5,167.92
6,169.01
7,169.78
8,168.56
9,166.34
10,167.46
11,168.11
12,168.04
13,165.97
14,165.02
15,158.08
16,165.65
17,162.25
18,158.03
19,161.03
20,160.06
21,159.46
22,157.89
23,159.71
24,160.2
25,157.74
26,156.02
27,156.67
28,157.6
29,157.08
30,160.61
31,159.83
32,159.93
33,158.72
34,158.22
35,157.35
36,157.47
37,156.87
38,156.47
39,156.62
40,156.22
41,156.88
42,162.34
43,162.38
44,161.17
45,160.15
46,161.04
47,159.27
48,157.9
49,159.29
50,161.12
51,157.81
52,161.05
53,162.28
54,160.4
55,156.97
56,160.43
57,142.32
58,161.08
59,162.11
60,162.64
