Time (sec),Watt
1,162.71
2,162.46
3,162.49
4,162.25
5,161.95
6,162.06
7,162.06
8,162.49
9,163.12
10,162.1
11,159.8
12,159.25
13,158.96
14,156.79
15,155.77
16,137.37
17,164.07
18,156.1
19,154.6
20,156.72
21,155.51
22,158.32
23,160.63
24,157.46
25,161.47
26,157.4
27,157.82
28,161.09
29,160.13
30,160.08
31,161.54
32,160.27
33,158.46
34,158.06
35,157.44
36,156.69
37,156.82
38,157.12
39,157.16
40,156.74
41,157.88
42,157.94
43,158.41
44,157.49
45,158.93
46,159.83
47,158.73
48,158.45
49,162.69
50,153.94
51,156.22
52,156.92
53,154.57
54,157.79
55,158.17
56,158.08
57,158.07
58,158.13
59,158.17
60,156.13
