Time (sec),Watt
1,167.63
2,164.57
3,166.04
4,166.04
5,172.19
6,166.75
7,166.66
8,165.64
9,165.51
10,165.76
11,168.27
12,166.15
13,156.57
14,157.53
15,144.3
16,147.17
17,157.37
18,158.55
19,159.77
20,159.43
21,155.79
22,157.27
23,158.32
24,156.67
25,157.05
26,155.42
27,157.38
28,156.76
29,155.48
30,153.79
31,156.68
32,157.63
33,161.09
34,159.62
35,158.13
36,156.21
37,159.92
38,159.37
39,153.83
40,157.65
41,159.38
42,160.18
43,159.86
44,159.95
45,160.39
46,159.57
47,158.19
48,159.67
49,159.74
50,157.94
51,158.2
52,158.4
53,156.45
54,156.67
55,156.45
56,155.17
57,138.33
58,162.69
59,165.5
60,164.46
