Time (sec),Watt
1,166.83
2,166.71
3,168.3
4,162.81
5,165.06
6,164.83
7,164.91
8,162.58
9,162.14
10,165.8
11,161.38
12,163.47
13,161.72
14,154.34
15,156.91
16,137.88
17,156.99
18,154.07
19,159.2
20,160.99
21,154.93
22,158.44
23,157.52
24,156.98
25,161.23
26,159.74
27,158.88
28,148.32
29,167.09
30,158.2
31,156.39
32,156.44
33,165.64
34,156.87
35,160.8
36,161.7
37,158.91
38,155.82
39,150
40,150.81
41,162.27
42,155.85
43,160.86
44,158.71
45,159.48
46,159.87
47,159.02
48,158.37
49,156.65
50,150.83
51,155.81
52,160.19
53,157.34
54,159.39
55,159.51
56,160.44
57,159.24
58,161.01
59,151.17
60,160.96
