Time (sec),Watt
1,33.36
2,33.87
3,34.45
4,33.12
5,35.57
6,33.98
7,34.32
8,33.11
9,33.46
10,33.02
11,34.21
12,32.49
13,35.63
14,33.55
15,34.53
16,33.01
17,32.89
18,33.91
19,34.45
20,32.24
21,34.71
22,33.1
23,35.03
24,32.07
25,33.06
26,33.49
27,35.25
28,33.44
29,35
30,33.02
31,34.55
32,33.21
33,37.09
34,39.19
35,39.58
36,35.6
37,41.3
38,36.23
39,35.96
40,33.26
41,40.74
42,38.68
43,41.03
44,38.61
45,42.72
46,59.12
47,58.79
48,58.25
49,45.58
50,36.42
51,38.16
52,35.23
53,35.86
54,33.73
55,35.2
56,32.6
57,34.02
58,34.49
59,35.52
60,32.9
