Time (sec),Watt
1,150.08
2,150.31
3,142.11
4,152.45
5,159.17
6,160.3
7,159.09
8,156.89
9,156.6
10,155.64
11,155.92
12,156.32
13,155.57
14,157.04
15,159.04
16,161.44
17,160.21
18,155.72
19,158.57
20,159.06
21,158.6
22,162.74
23,161.45
24,155.39
25,156.43
26,157.34
27,157.82
28,158.63
29,158.1
30,156.36
31,155.62
32,157.04
33,157.56
34,156.6
35,156.49
36,156.37
37,155.68
38,156.56
39,156.62
40,156.27
41,153.09
42,157.11
43,155.86
44,149.61
45,152.3
46,154.48
47,154.24
48,153.03
49,154.43
50,153.17
51,153.28
52,153.06
53,155.68
54,154.46
55,155.71
56,155.71
57,155.69
58,154.8
59,155.7
60,156.93
