Time (sec),Watt
1,147.39
2,147.52
3,139.71
4,162.48
5,163.88
6,162.75
7,160.55
8,158.58
9,157.65
10,157.3
11,158.74
12,156.59
13,154.93
14,155.42
15,158.71
16,155.59
17,155.37
18,157.22
19,156.14
20,157.96
21,156.45
22,158.61
23,158.35
24,159.52
25,160.34
26,156.49
27,154.83
28,157.59
29,156.85
30,153.69
31,155.69
32,154.89
33,155.14
34,158.35
35,158.13
36,152.9
37,153.77
38,153.06
39,153.46
40,153.87
41,157.74
42,157.73
43,159.05
44,153.89
45,154.06
46,156.25
47,158.06
48,152.18
49,154.97
50,156.27
51,152.35
52,153.8
53,155.14
54,155.47
55,153.85
56,154.75
57,154.42
58,155.24
59,155.53
60,155
