Time (sec),Watt
1,145.19
2,156.02
3,145.92
4,139.24
5,150.9
6,150.72
7,159.49
8,158.6
9,157.29
10,155.16
11,155.63
12,155.4
13,155.47
14,154.64
15,155.88
16,159.01
17,159.61
18,157.52
19,154.5
20,157.56
21,159.8
22,161.31
23,161.73
24,162.71
25,161
26,158.72
27,156.57
28,159.09
29,162.89
30,158.26
31,156.88
32,156.92
33,157.15
34,156.98
35,157.43
36,155.97
37,156.53
38,155.14
39,155.91
40,155.2
41,155.99
42,156.36
43,155.63
44,157.01
45,156.28
46,155.38
47,154.79
48,155.72
49,156.06
50,155.09
51,155.49
52,156
53,155.54
54,154.96
55,154.47
56,155.72
57,155.14
58,153.63
59,153.6
60,153.78
