Time (sec),Watt
1,155.87
2,156.81
3,152.98
4,159.87
5,159.34
6,154.43
7,158.3
8,163.43
9,164.25
10,164.41
11,164.8
12,163.65
13,164.77
14,165.68
15,160.93
16,160.46
17,161.86
18,159.23
19,159.17
20,161.71
21,159.93
22,156.48
23,164.23
24,163.5
25,163.73
26,159.32
27,161.85
28,163.57
29,161.15
30,161.21
31,160.84
32,160.49
33,160.72
34,161.07
35,160.02
36,160.46
37,160.14
38,160.28
39,160.28
40,160.73
41,159.63
42,160.07
43,159.33
44,159.79
45,158.72
46,158.88
47,159.54
48,159.3
49,158.09
50,157.95
51,157.86
52,157.75
53,156.62
54,156.99
55,156.97
56,158.68
57,158.13
58,156.66
59,157.4
60,157.02
