Time (sec),Watt
1,154.25
2,151.9
3,147.2
4,161.98
5,162.27
6,159.53
7,159.3
8,159.41
9,159.1
10,151.85
11,156
12,157.23
13,157.04
14,156.66
15,157.89
16,153.66
17,153.97
18,155.65
19,156.31
20,158.02
21,159.91
22,159.6
23,160.31
24,159.68
25,160.27
26,158.82
27,158.46
28,157.56
29,157.47
30,156.19
31,155.03
32,156.26
33,153.88
34,154.68
35,156.38
36,157.18
37,157.48
38,153.95
39,155.05
40,153.91
41,153.52
42,152.88
43,153.9
44,156.85
45,158.45
46,157.79
47,157.3
48,156.84
49,157.52
50,157.19
51,155.23
52,151.14
53,150.5
54,155.07
55,155.3
56,155.37
57,155.87
58,155.18
59,155.98
60,157.44
