Time (sec),Watt
1,153.19
2,153.49
3,152.28
4,147.31
5,165.69
6,163.5
7,158.68
8,159.16
9,157.22
10,157.49
11,160.98
12,161
13,157.53
14,157.34
15,154.8
16,153.59
17,156.33
18,156.3
19,155.33
20,156.2
21,158.15
22,159.45
23,160.17
24,159.93
25,158.16
26,158.74
27,158.54
28,157.34
29,158.57
30,158.91
31,158.55
32,157.97
33,158.66
34,158.35
35,157.12
36,153.75
37,153.92
38,153.72
39,153.89
40,153.58
41,152.3
42,153.75
43,154.24
44,154.48
45,154.79
46,153.31
47,152.03
48,154.47
49,153.41
50,152.76
51,151.92
52,156.52
53,156.7
54,157.35
55,156.92
56,156.81
57,157.41
58,157.58
59,156.82
60,153.22
