Time (sec),Watt
1,155.39
2,155.29
3,154.64
4,154.52
5,162.29
6,163.81
7,159.6
8,151.3
9,159.22
10,159.96
11,159.31
12,159.3
13,154.12
14,155.69
15,156.02
16,157.22
17,157.08
18,156.6
19,155.37
20,155.55
21,157.27
22,156.83
23,155.85
24,155.17
25,156.57
26,156.58
27,153.87
28,154.11
29,153.7
30,155.35
31,157.91
32,157.49
33,157.37
34,157.19
35,153.05
36,155.64
37,155.05
38,154.83
39,154.8
40,155.05
41,154.59
42,154.96
43,155.49
44,155.09
45,154.55
46,154.06
47,154.73
48,154.25
49,154.47
50,154.94
51,153.9
52,154.93
53,154.41
54,155.39
55,154.6
56,153.94
57,153.83
58,154.9
59,154.18
60,155.63
