Time (sec),Watt
1,152.34
2,152.94
3,152.43
4,144.6
5,159.9
6,161.45
7,159.62
8,156.24
9,160.97
10,157
11,157.91
12,158.03
13,157.72
14,157.84
15,159.06
16,156.97
17,157.52
18,158.82
19,157.08
20,158.91
21,155.11
22,156.23
23,155.32
24,155.73
25,157.85
26,159.6
27,160.29
28,160.65
29,159.99
30,160.81
31,160.86
32,158.23
33,155.95
34,155.9
35,154.86
36,154.44
37,158.72
38,156.05
39,155.64
40,156.36
41,155.16
42,154.95
43,154.47
44,154.35
45,154.96
46,154.62
47,153.54
48,155.26
49,154.7
50,153.99
51,152.61
52,153.83
53,153.68
54,153.6
55,153.22
56,152.91
57,152.3
58,152.71
59,152.72
60,154.36
