Time (sec),Watt
1,161.48
2,160.33
3,163.9
4,171.79
5,136.54
6,123.46
7,171.52
8,173.68
9,171.95
10,173.86
11,173.91
12,173.78
13,170.68
14,169.93
15,169.35
16,165.86
17,167.79
18,169.17
19,170.67
20,171.13
21,171.23
22,170.64
23,167.49
24,164.92
25,168.25
26,168.06
27,168.04
28,168.26
29,164.71
30,165.25
31,165.77
32,165.14
33,165.65
34,165.02
35,164.96
36,164.4
37,165.74
38,165.82
39,166.5
40,164.95
41,165.89
42,165.48
43,166.81
44,166.72
45,166.82
46,164.43
47,164.16
48,165.01
49,165.15
50,165.3
51,164.77
52,164.49
53,164.52
54,165.17
55,165.12
56,165.75
57,165.46
58,165.54
59,165.54
60,166.62
