Time (sec),Watt
1,160.97
2,155.61
3,158.75
4,159.3
5,160.15
6,149.94
7,151.21
8,155.48
9,161.24
10,161.28
11,160.4
12,162.62
13,162.32
14,161.35
15,164.29
16,164.03
17,159.92
18,160.72
19,160.6
20,159.04
21,159.53
22,159.94
23,162.34
24,162.62
25,163.07
26,163.81
27,162.47
28,158.77
29,157.46
30,160.28
31,160.32
32,161.26
33,160.6
34,160.44
35,161.36
36,161.27
37,161.15
38,159.62
39,159.39
40,160
41,160.74
42,155.92
43,159.6
44,159.59
45,159.74
46,160.85
47,160.97
48,160.59
49,160.24
50,159.81
51,158.56
52,159.16
53,158.77
54,158.09
55,157.71
56,158.74
57,158.59
58,157.63
59,158.63
60,158.7
