Time (sec),Watt
1,161.57
2,161.85
3,161.2
4,160.25
5,160.41
6,159.38
7,158.48
8,164.86
9,164.73
10,165.07
11,165.47
12,166.04
13,165.92
14,165.49
15,164.07
16,165.17
17,164.79
18,164.91
19,164.37
20,164.07
21,163.76
22,165.04
23,165.44
24,164.49
25,164.02
26,164.43
27,163.95
28,163.37
29,163.14
30,163.37
31,162.96
32,162.77
33,162.89
34,162.51
35,162.85
36,163.05
37,160.18
38,156.62
39,156.5
40,160.55
41,162.85
42,163.57
43,163.36
44,162.82
45,162.26
46,162.14
47,162.73
48,162.99
49,162.7
50,162.26
51,161.39
52,161.55
53,161.92
54,162.97
55,162.71
56,162.31
57,161.66
58,162.37
59,160.14
60,155.47
,
