Time (sec),Watt
1,136.52
2,134.15
3,131.89
4,149.67
5,155.25
6,153.77
7,152.95
8,151.7
9,148.21
10,148.86
11,149.11
12,149.56
13,148.33
14,148.03
15,149.92
16,153.56
17,151.56
18,148.65
19,148.84
20,153.52
21,158.25
22,159.61
23,160.36
24,154.55
25,150.5
26,152.2
27,154.04
28,157.76
29,157.05
30,159.34
31,161.29
32,163.02
33,163.4
34,160.4
35,158.37
36,157.69
37,161.61
38,159.05
39,160.81
40,163.71
41,164.98
42,164.21
43,161.78
44,155.57
45,154.36
46,156.64
47,156.22
48,156.3
49,157.33
50,156.98
51,157.05
52,157.99
53,155.94
54,158.6
55,157.6
56,158.86
57,154.58
58,153.93
59,152.87
60,153.87
