Time (sec),Watt
1,136.68
2,136.69
3,143.85
4,151.77
5,153.44
6,152.85
7,151.31
8,151.48
9,149.92
10,150.93
11,152.09
12,150.61
13,149.08
14,148.61
15,151.5
16,152.21
17,151.21
18,150.43
19,153.69
20,156.51
21,159.64
22,160.94
23,159.08
24,156.52
25,158.56
26,158.84
27,157.68
28,158.45
29,161.57
30,161.97
31,163.66
32,164.18
33,162.35
34,159
35,158.7
36,161.98
37,163.73
38,164.86
39,166.26
40,166.7
41,165.18
42,162.42
43,159.09
44,159.11
45,159.75
46,158.86
47,160.86
48,159.56
49,162.15
50,162.34
51,160.37
52,159.99
53,157.59
54,157.8
55,157.26
56,157.57
57,157.64
58,157.24
59,156.51
60,155.87
