Time (sec),Watt
1,135.51
2,135.38
3,130.46
4,152.33
5,153
6,152.71
7,152.56
8,152.41
9,150.48
10,150.36
11,150.3
12,149.25
13,149.07
14,149.57
15,150.08
16,152.15
17,151.58
18,152.89
19,148.3
20,156.48
21,158.6
22,159.14
23,160.42
24,155.06
25,155.67
26,157.71
27,158.28
28,159.38
29,159.33
30,160.51
31,161.95
32,164.53
33,161.99
34,160.29
35,160.95
36,164.19
37,166.76
38,165.94
39,163.94
40,162.13
41,161.84
42,160.05
43,157.89
44,157.83
45,159.97
46,163.98
47,161.08
48,160.72
49,159.92
50,155.48
51,157.06
52,156.48
53,157.01
54,156.46
55,157.28
56,158.21
57,156.74
58,156.8
59,157.08
60,157.08
