Time (sec),Watt
1,151.06
2,150.53
3,147.21
4,147.39
5,160.39
6,161.1
7,160.04
8,157.18
9,156.05
10,156.31
11,158.03
12,157.77
13,157.3
14,159.91
15,161.18
16,163.86
17,161.41
18,158.18
19,159.32
20,163.29
21,167.42
22,164.73
23,161.52
24,157.39
25,157.2
26,158.31
27,158.7
28,162.81
29,161.08
30,160.7
31,161.07
32,161.8
33,161.53
34,161.78
35,158.96
36,159.02
37,156.5
38,156.93
39,155.96
40,157.36
41,158.07
42,157.64
43,156.83
44,157.61
45,157.44
46,157.48
47,156.48
48,157.1
49,156.36
50,156.89
51,157.3
52,156.35
53,155.71
54,155.68
55,156.88
56,156.67
57,155.95
58,156.24
59,158.24
60,158.22
