Time (sec),Watt
1,154.72
2,154.41
3,143.54
4,136.44
5,154.04
6,149.23
7,141.9
8,149.93
9,156.6
10,157.99
11,155.82
12,157.66
13,157.27
14,160.14
15,159.22
16,160.49
17,159.49
18,160.5
19,160.73
20,159.99
21,158.98
22,160.79
23,160.43
24,160.58
25,160.33
26,159.84
27,160.19
28,158.77
29,160.42
30,160.97
31,160.82
32,159.48
33,159.58
34,159.61
35,160.33
36,160.46
37,159.88
38,160.43
39,159.21
40,159.21
41,159.16
42,159.48
43,159.87
44,160.05
45,159.5
46,159.15
47,159.28
48,159.41
49,159.35
50,158.35
51,158.47
52,158.16
53,157.71
54,158.75
55,158.63
56,158.91
57,158.27
58,158.84
59,159.05
60,159.05
