Time (sec),Watt
1,160.55
2,160.17
3,158.56
4,160.71
5,160.85
6,161.5
7,160.83
8,161.09
9,162.17
10,162.04
11,161.58
12,161.43
13,160.63
14,159.77
15,159.72
16,157.34
17,157.8
18,158.12
19,159.6
20,160.37
21,160.53
22,159.39
23,160.55
24,159.5
25,160.14
26,155.51
27,156.07
28,156.51
29,156.31
30,156.68
31,155.62
32,157.21
33,158.5
34,155.47
35,154.62
36,154.85
37,157.55
38,156.28
39,158.58
40,158.44
41,155.56
42,154.93
43,156.79
44,157.72
45,156.67
46,157.5
47,158.08
48,157.94
49,156.28
50,156.53
51,156.59
52,157.3
53,156.79
54,156.57
55,155.58
56,156.59
57,156.13
58,156.63
59,156.94
60,157.98
