Time (sec),Watt
1,150.53
2,150.85
3,148.85
4,153.74
5,158.9
6,159.11
7,158.75
8,159.77
9,155.85
10,156.44
11,157.04
12,158.55
13,157.85
14,158.33
15,159
16,161.06
17,160.38
18,159.45
19,158.15
20,160.94
21,160.99
22,160.78
23,160.59
24,161.27
25,160.84
26,160.6
27,160.28
28,159.69
29,159.98
30,160.31
31,160.14
32,160.49
33,160.85
34,160.21
35,159.19
36,159.38
37,159.46
38,159.83
39,160.1
40,159.9
41,160.25
42,159.88
43,159.49
44,159.47
45,158.63
46,159.14
47,159.27
48,159.57
49,158.14
50,158.41
51,159.33
52,159.91
53,159.29
54,159.21
55,158.81
56,159.53
57,159.15
58,158.92
59,158.61
60,159.33
