Time (sec),Watt
1,159.79
2,159.89
3,159.99
4,161.1
5,161.32
6,161.29
7,160.56
8,161.32
9,161.99
10,162.26
11,161.32
12,161.77
13,160.86
14,161.12
15,160.8
16,160.68
17,160.92
18,160.87
19,160.55
20,160.28
21,160.31
22,159.98
23,159.79
24,159.81
25,159.46
26,158.82
27,158.99
28,158.94
29,159.29
30,159.28
31,159.83
32,159.56
33,158.94
34,159.81
35,159.96
36,159.64
37,159.78
38,159.41
39,158.97
40,158.6
41,158.8
42,158.88
43,159.09
44,158.39
45,158.35
46,159.22
47,159.71
48,159.78
49,159.31
50,159.34
51,158.68
52,159
53,158.52
54,159.36
55,159.96
56,158.61
57,158.8
58,158.69
59,158.33
60,160.35
