Time (sec),Watt
1,150.82
2,150.13
3,144.97
4,166.88
5,168.17
6,168
7,168.41
8,167.54
9,167.15
10,163.98
11,165.29
12,165.2
13,165.28
14,162.99
15,163.83
16,161.56
17,161.65
18,163.49
19,160.43
20,161.14
21,162.34
22,164.82
23,165.7
24,165.88
25,165.69
26,165.52
27,164.14
28,164.4
29,162.42
30,159.45
31,159.98
32,158.4
33,158.01
34,157.87
35,158.77
36,159.41
37,158.35
38,156.82
39,156.45
40,157.31
41,158.42
42,158.83
43,159.73
44,157.83
45,157.44
46,159.18
47,159.29
48,163.71
49,163.26
50,163.14
51,157.93
52,156.71
53,159.34
54,160.2
55,160.44
56,160.69
57,158.88
58,158.25
59,158.91
60,158.72
