Time (sec),Watt
1,152.63
2,152.86
3,151.94
4,164.88
5,165.2
6,159.35
7,160.82
8,160.05
9,161.44
10,160.82
11,161.44
12,161.82
13,160.68
14,159.83
15,159.45
16,159.23
17,159.47
18,159.37
19,159.59
20,154.4
21,153.77
22,153.54
23,154.71
24,159.21
25,159.83
26,160.62
27,159.75
28,158.36
29,158.31
30,158.02
31,155.96
32,155.59
33,156.26
34,155.14
35,155.02
36,155.17
37,154.68
38,154.65
39,154.85
40,154.87
41,155.3
42,155.21
43,155.31
44,154.69
45,154.73
46,155.94
47,155.28
48,154.78
49,154.51
50,155.25
51,154.79
52,153.99
53,153.95
54,154.29
55,153.9
56,157.36
57,154.66
58,154.37
59,155.21
60,157.4
