Time (sec),Watt
1,157.17
2,154.61
3,150.59
4,154.75
5,163.32
6,162.14
7,165.49
8,165.82
9,161.32
10,160.96
11,158.82
12,159.17
13,161.8
14,160.27
15,160.48
16,157.46
17,160.73
18,160.27
19,159.44
20,160.22
21,162.11
22,163.2
23,162.73
24,163.09
25,160.65
26,156.61
27,157.72
28,161.95
29,162.19
30,160.53
31,159.74
32,161.76
33,162.81
34,162.68
35,161.46
36,161.62
37,157
38,156.12
39,160.12
40,161.87
41,162.79
42,160.26
43,158.15
44,155.8
45,156.44
46,160.75
47,161.28
48,160.83
49,160.34
50,160.16
51,157.26
52,156.8
53,156.48
54,156.47
55,156.1
56,157.16
57,156.96
58,156.73
59,156.94
60,157.43
