Time (sec),Watt
1,155.79
2,154.94
3,146.14
4,167.5
5,167.43
6,165.06
7,167.55
8,167.05
9,165.59
10,163.95
11,162.36
12,160.43
13,162.29
14,161.81
15,162.4
16,162.99
17,162.14
18,162.24
19,161.53
20,165.02
21,162.54
22,161.75
23,161.71
24,159.83
25,160.51
26,160.55
27,160.14
28,161.65
29,164.39
30,162.39
31,158.08
32,161.9
33,161.53
34,161.48
35,160.97
36,161.28
37,161.33
38,156.63
39,158.53
40,161.91
41,160.81
42,160.63
43,159.35
44,162.12
45,162.15
46,160.36
47,158.81
48,158.3
49,158.28
50,159.25
51,160.33
52,158.95
53,159.47
54,159.23
55,159.8
56,159.97
57,159.95
58,160.47
59,160.58
60,157.74
