Time (sec),Watt
1,155.52
2,155.47
3,160.69
4,162
5,160.25
6,160.42
7,160.06
8,161.22
9,161.26
10,161.25
11,160.59
12,160.01
13,159.38
14,160.02
15,159.35
16,159.16
17,158.9
18,163.95
19,162.12
20,159.17
21,159.13
22,159.05
23,159.33
24,159.79
25,159.91
26,159.59
27,158.63
28,160.18
29,158.89
30,158.66
31,158.76
32,161.6
33,161.36
34,158.47
35,158.61
36,158.06
37,157.24
38,157.03
39,157
40,157.68
41,157.17
42,157.07
43,157.23
44,156.26
45,156.28
46,156.87
47,157.04
48,157.51
49,158.09
50,157
51,157.33
52,155.99
53,156.56
54,157.07
55,156.66
56,156.06
57,156.89
58,156.33
59,157.05
60,157.45
