Time (sec),Watt
1,159.06
2,157.79
3,156.22
4,160.81
5,163.21
6,159.21
7,158.6
8,168.16
9,165.58
10,161.14
11,161.2
12,161.45
13,162.09
14,160.66
15,160.05
16,160.54
17,159.34
18,158.84
19,159.28
20,158.77
21,159.8
22,160.68
23,160.22
24,159.69
25,159.82
26,160.26
27,160.11
28,152.46
29,156.04
30,157.17
31,156.21
32,156.67
33,156.81
34,157.03
35,156.48
36,156.32
37,155.96
38,156.25
39,156.97
40,156.47
41,156.36
42,156.25
43,156.92
44,156.61
45,156.34
46,156.05
47,155.75
48,157.08
49,156.31
50,156.32
51,155.57
52,155.49
53,156.19
54,155.68
55,155.82
56,155.45
57,154.64
58,155.96
59,156.27
60,157.05
