Time (sec),Watt
1,137.36
2,136.74
3,132.07
4,151.74
5,157.14
6,157.21
7,156.88
8,155.97
9,153
10,154.1
11,154.15
12,156.15
13,154.58
14,153.45
15,154.23
16,158.78
17,156.08
18,154.64
19,152.27
20,155.44
21,160.84
22,161.09
23,160.66
24,160.66
25,160.25
26,160.12
27,160.65
28,160.3
29,159.8
30,159.94
31,158.47
32,159.17
33,157.1
34,157.43
35,157.15
36,157.39
37,157.35
38,156.84
39,155.67
40,155.46
41,158.87
42,159.87
43,158.94
44,160.11
45,157.11
46,156.67
47,155.58
48,159.4
49,158.18
50,157.62
51,158.27
52,158.11
53,157.85
54,157.28
55,157.37
56,157.48
57,157.64
58,157.72
59,159.08
60,157.36
