Time (sec),Watt
1,140.14
2,135.35
3,138.1
4,150.42
5,152.35
6,152.24
7,151.37
8,150.14
9,148.97
10,148.25
11,150.27
12,149.4
13,149.91
14,150.94
15,152.73
16,153.75
17,151.47
18,149.02
19,154.26
20,159.91
21,160.62
22,162.24
23,159.33
24,157.16
25,159.53
26,159.11
27,158.09
28,156.88
29,159.07
30,159.31
31,158.74
32,159.45
33,159.89
34,160.15
35,160.1
36,159.75
37,160.38
38,160.44
39,161.53
40,161.47
41,161.94
42,161.18
43,161.2
44,161.41
45,161.09
46,160.01
47,161.26
48,161.08
49,160.67
50,161.74
51,161.49
52,161.17
53,160.6
54,161.28
55,160.27
56,160.48
57,161.52
58,160.84
59,160.73
60,162.87
