Time (sec),Watt
1,151.45
2,151.35
3,149.6
4,145.01
5,160.41
6,159.55
7,160.39
8,160.57
9,160.44
10,158.7
11,159.25
12,159.6
13,159
14,158.3
15,158.48
16,158.82
17,159.44
18,158.16
19,157.92
20,157.15
21,159.8
22,159.12
23,159.43
24,159.15
25,157.31
26,158.5
27,158.83
28,159.72
29,158.75
30,157.27
31,154.65
32,158.18
33,156.68
34,158.74
35,158.67
36,158.28
37,155.71
38,158.85
39,158.97
40,155.75
41,157.5
42,154.42
43,154.96
44,154.75
45,153.83
46,153.62
47,154.4
48,155.21
49,154.13
50,153.73
51,153.96
52,153.83
53,154.45
54,154.44
55,154.68
56,154.81
57,156.07
58,155.66
59,155.1
60,154.67
