Time (sec),Watt
1,153.96
2,155.06
3,149.5
4,151.65
5,159.09
6,160.14
7,160.54
8,160.74
9,159.94
10,158.5
11,159.41
12,158.37
13,159.85
14,155.7
15,159.17
16,159.3
17,158.81
18,159.56
19,156.88
20,156.98
21,157.03
22,159.11
23,159.38
24,158.26
25,158.74
26,159.17
27,158.81
28,158.92
29,156.82
30,156.19
31,156.13
32,159.2
33,159.15
34,155.46
35,156.92
36,157.41
37,157.45
38,158.3
39,158.57
40,158.48
41,157.73
42,157.35
43,156.4
44,153.29
45,152.72
46,154.02
47,156.38
48,155.21
49,153.07
50,154.28
51,154.4
52,154.58
53,155.32
54,154.87
55,155.2
56,155.4
57,155.42
58,154.41
59,155.69
60,156.15
