Time (sec),Watt
1,157.24
2,156.33
3,154.3
4,155.51
5,158.9
6,160.57
7,160.74
8,157.76
9,160.67
10,160.89
11,160.37
12,160.56
13,158.8
14,158.6
15,159.1
16,158.68
17,158.7
18,158.44
19,158.87
20,156.18
21,154.32
22,154.2
23,156.53
24,156.14
25,157.11
26,153.81
27,153.72
28,153.19
29,154.3
30,155.05
31,154.65
32,155.02
33,156.1
34,155.43
35,155.84
36,155.7
37,155.64
38,155.06
39,154.33
40,154
41,154.91
42,154.6
43,154.72
44,154.69
45,158.5
46,153.56
47,155.41
48,156.23
49,156.34
50,154
51,152.66
52,152.95
53,152.88
54,153.97
55,154.13
56,154.19
57,154.3
58,154.19
59,153.05
60,155.96
