Time (sec),Watt
1,150.58
2,150.51
3,148.05
4,142.57
5,156.88
6,159.8
7,160.21
8,158.48
9,157.39
10,156.19
11,155.87
12,157.69
13,158.48
14,157.88
15,157.07
16,159.03
17,161.76
18,163.39
19,162.06
20,163.34
21,163.22
22,164.96
23,167.07
24,171.27
25,170.74
26,172.17
27,167.89
28,164.92
29,163.92
30,163.26
31,165.01
32,166.35
33,161.83
34,164.23
35,162.36
36,161.87
37,161.84
38,162.86
39,161.9
40,161.88
41,161.61
42,161.68
43,162.23
44,162.7
45,163.46
46,163.25
47,161.3
48,160.36
49,159.12
50,161.06
51,160.43
52,160.64
53,160.65
54,159.56
55,159.27
56,159.24
57,159.44
58,160.04
59,159.74
60,161.04
